"","quality","p","size","chi2","description"
"1",21.37,0.43,8232,3092.98,"Crm.Cd.Desc=THEFT OF IDENTITY"
"2",18.75,0.45,5368,2341.02,"Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"3",15.5,0.44,4018,1586.88,"Vict.Sex=M, Crm.Cd.Desc=THEFT OF IDENTITY"
"4",14.74,0.42,4214,1437.03,"Vict.Sex=F, Crm.Cd.Desc=THEFT OF IDENTITY"
"5",13.34,0.45,2599,1166.57,"Vict.Sex=M, Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"6",13.18,0.44,2769,1139.75,"Vict.Sex=F, Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"7",12.42,0.25,38412,1269.16,"Premis.Desc=SINGLE FAMILY DWELLING"
"8",12.32,0.42,2893,997.02,"Vict.Descent=W, Crm.Cd.Desc=THEFT OF IDENTITY"
"9",11.88,0.43,2401,923.83,"Vict.Descent=H, Crm.Cd.Desc=THEFT OF IDENTITY"
"10",11.21,0.45,1905,819.74,"Premis.Desc=SINGLE FAMILY DWELLING, Vict.Descent=W, Crm.Cd.Desc=THEFT OF IDENTITY"
"11",10.51,0.45,1603,720.37,"Vict.Descent=H, Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"12",10.41,0.45,1653,706.85,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC), Crm.Cd.Desc=THEFT OF IDENTITY"
"13",10.23,0.43,1784,683.3,"Crm.Cd.Desc=BUNCO, GRAND THEFT"
"14",9.45,0.28,11225,615.15,"Premis.Desc=SINGLE FAMILY DWELLING, Vict.Descent=W"
"15",8.88,0.26,16427,560.37,"Vict.Sex=M, Premis.Desc=SINGLE FAMILY DWELLING"
"16",8.86,0.46,1108,509.6,"Crm.Cd.Desc=DOCUMENT FORGERY / STOLEN FELONY"
"17",8.79,0.45,1186,502.69,"Vict.Sex=M, Vict.Descent=H, Crm.Cd.Desc=THEFT OF IDENTITY"
"18",8.74,0.25,21985,562.77,"Vict.Sex=F, Premis.Desc=SINGLE FAMILY DWELLING"
"19",8.71,0.42,1471,494.53,"Vict.Sex=F, Vict.Descent=W, Crm.Cd.Desc=THEFT OF IDENTITY"
"20",8.71,0.42,1422,494.4,"Vict.Sex=M, Vict.Descent=W, Crm.Cd.Desc=THEFT OF IDENTITY"
