"","quality","p","size","chi2","description"
"1",2433.56,0.25,38412,1269.16,"Premis.Desc=SINGLE FAMILY DWELLING"
"2",1939.24,0.43,8232,3092.98,"Crm.Cd.Desc=THEFT OF IDENTITY"
"3",1373.81,0.45,5368,2341.02,"Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"4",1295.99,0.25,21985,562.77,"Vict.Sex=F, Premis.Desc=SINGLE FAMILY DWELLING"
"5",1137.57,0.26,16427,560.37,"Vict.Sex=M, Premis.Desc=SINGLE FAMILY DWELLING"
"6",1000.96,0.28,11225,615.15,"Premis.Desc=SINGLE FAMILY DWELLING, Vict.Descent=W"
"7",982.39,0.44,4018,1586.88,"Vict.Sex=M, Crm.Cd.Desc=THEFT OF IDENTITY"
"8",956.85,0.42,4214,1437.03,"Vict.Sex=F, Crm.Cd.Desc=THEFT OF IDENTITY"
"9",821.07,0.2,84619,97.96,"Vict.Sex=F"
"10",693.63,0.44,2769,1139.75,"Vict.Sex=F, Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"11",680.19,0.45,2599,1166.57,"Vict.Sex=M, Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=THEFT OF IDENTITY"
"12",662.87,0.42,2893,997.02,"Vict.Descent=W, Crm.Cd.Desc=THEFT OF IDENTITY"
"13",604.9,0.22,23014,117.9,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
"14",603.17,0.2,47775,67.19,"Vict.Descent=W"
"15",582.11,0.43,2401,923.83,"Vict.Descent=H, Crm.Cd.Desc=THEFT OF IDENTITY"
"16",535.67,0.29,5682,336.86,"Vict.Sex=F, Premis.Desc=SINGLE FAMILY DWELLING, Vict.Descent=W"
"17",489.12,0.45,1905,819.74,"Premis.Desc=SINGLE FAMILY DWELLING, Vict.Descent=W, Crm.Cd.Desc=THEFT OF IDENTITY"
"18",469.38,0.23,13875,111.2,"Crm.Cd.Desc=THEFT PLAIN - PETTY ($950 & UNDER)"
"19",465.29,0.28,5543,260.32,"Vict.Sex=M, Vict.Descent=W, Premis.Desc=SINGLE FAMILY DWELLING"
"20",438.23,0.25,7167,180.29,"Premis.Desc=SINGLE FAMILY DWELLING, Vict.Descent=B"
