"","quality","p","size","chi2","description"
"1",28.7,0.76,6452,3567.07,"AREA.NAME=Hollenbeck"
"2",24.99,0.66,9193,2747.59,"AREA.NAME=Newton"
"3",24.85,0.68,7556,2690.49,"AREA.NAME=Mission"
"4",15.12,0.8,1386,961.94,"AREA.NAME=Hollenbeck, TIME.OCC=(20,24]"
"5",14.35,0.58,6354,890.65,"AREA.NAME=Foothill"
"6",13.67,0.74,1593,786.83,"AREA.NAME=Mission, TIME.OCC=(20,24]"
"7",13.66,0.76,1437,784.71,"AREA.NAME=Hollenbeck, TIME.OCC=(16,20]"
"8",13.48,0.55,7724,793.03,"AREA.NAME=Rampart"
"9",12.49,0.7,1755,657.08,"AREA.NAME=Mission, TIME.OCC=(16,20]"
"10",12.48,0.84,804,652.68,"AREA.NAME=Hollenbeck, Crm.Cd.Desc=BATTERY - SIMPLE ASSAULT"
"11",12.48,0.67,2070,657.21,"AREA.NAME=Newton, TIME.OCC=(16,20]"
"12",12.11,0.51,11986,656.01,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"13",11.49,0.67,1779,556.25,"AREA.NAME=Newton, TIME.OCC=(20,24]"
"14",11.45,0.74,1137,550.92,"AREA.NAME=Hollenbeck, TIME.OCC=(12,16]"
"15",11.03,0.67,1678,512.35,"AREA.NAME=Newton, TIME.OCC=(12,16]"
"16",10.54,0.86,516,465.26,"AREA.NAME=Hollenbeck, Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"17",10.43,0.47,18753,507.73,"Crm.Cd.Desc=BATTERY - SIMPLE ASSAULT"
"18",10.31,0.7,1158,446.46,"AREA.NAME=Hollenbeck, TIME.OCC=(8.01,12]"
"19",10.27,0.52,7229,458.69,"Crm.Cd.Desc=ROBBERY"
"20",10.08,0.75,804,425.91,"AREA.NAME=Hollenbeck, TIME.OCC=[0.0167,4.01]"
