"","quality","p","size","chi2","description"
"1",2396.02,0.66,9193,2747.59,"AREA.NAME=Newton"
"2",2305.59,0.76,6452,3567.07,"AREA.NAME=Hollenbeck"
"3",2159.93,0.68,7556,2690.49,"AREA.NAME=Mission"
"4",1428.89,0.47,18753,507.73,"Crm.Cd.Desc=BATTERY - SIMPLE ASSAULT"
"5",1325.75,0.51,11986,656.01,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"6",1185.03,0.55,7724,793.03,"AREA.NAME=Rampart"
"7",1143.61,0.58,6354,890.65,"AREA.NAME=Foothill"
"8",1019.8,0.5,10537,437.73,"Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"9",908.19,0.49,9514,382.16,"AREA.NAME=Southeast"
"10",893.28,0.42,35629,116.8,"TIME.OCC=(20,24]"
"11",873.16,0.52,7229,458.69,"Crm.Cd.Desc=ROBBERY"
"12",809.71,0.52,6522,435.41,"AREA.NAME=Harbor"
"13",567.65,0.67,2070,657.21,"AREA.NAME=Newton, TIME.OCC=(16,20]"
"14",563.05,0.8,1386,961.94,"AREA.NAME=Hollenbeck, TIME.OCC=(20,24]"
"15",545.61,0.74,1593,786.83,"AREA.NAME=Mission, TIME.OCC=(20,24]"
"16",523.1,0.7,1755,657.08,"AREA.NAME=Mission, TIME.OCC=(16,20]"
"17",517.74,0.76,1437,784.71,"AREA.NAME=Hollenbeck, TIME.OCC=(16,20]"
"18",510.12,0.56,3126,353.56,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, TIME.OCC=(20,24]"
"19",484.54,0.67,1779,556.25,"AREA.NAME=Newton, TIME.OCC=(20,24]"
"20",471.28,0.58,2538,370.45,"Crm.Cd.Desc=VIOLATION OF RESTRAINING ORDER"
