"","quality","p","size","chi2","description"
"1",20.77,0.73,10530,1838.72,"Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"2",17.73,0.65,19401,1414.12,"Vict.Descent=O"
"3",16.75,0.76,5215,1159.72,"Vict.Descent=H, Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"4",15.92,0.83,2686,1032.35,"Crm.Cd.Desc=SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"5",12.58,0.67,7227,661.17,"Crm.Cd.Desc=ROBBERY"
"6",12.3,0.74,3318,617.87,"Premis.Desc=STREET, Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"7",11.55,0.8,1781,540.69,"Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT, Premis.Desc=SIDEWALK"
"8",11,0.58,34089,599.82,"Premis.Desc=STREET"
"9",10.97,0.9,851,484.97,"Vict.Descent=W, Crm.Cd.Desc=SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"10",10.62,0.8,1474,456.26,"Vict.Descent=O, Premis.Desc=OTHER BUSINESS"
"11",10.56,0.78,1710,451.92,"Vict.Descent=H, Premis.Desc=STREET, Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"12",10.36,0.73,2505,436.21,"TIME.OCC=(20,24], Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"13",10.25,0.94,616,423,"Vict.Descent=O, Crm.Cd.Desc=SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"14",10.08,0.69,3750,416.41,"Vict.Descent=H, Crm.Cd.Desc=ROBBERY"
"15",9.78,0.73,2324,388.49,"TIME.OCC=(16,20], Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"16",9.68,0.76,1697,379.25,"TIME.OCC=[0.0167,4.01], Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"17",9.4,0.6,15584,388.6,"Vict.Descent=H, Premis.Desc=STREET"
"18",9.13,0.84,868,336.21,"TIME.OCC=(12,16], Crm.Cd.Desc=SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"19",9.08,0.66,4458,339.44,"TIME.OCC=(16,20], Vict.Descent=O"
"20",9.07,0.75,1573,333.02,"Vict.Descent=W, Crm.Cd.Desc=ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
