"","quality","p","size","chi2","description"
"1",3882.51,0.57,38540,1996.32,"Premis.Desc=SINGLE FAMILY DWELLING"
"2",3467.32,0.76,12006,4305.37,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"3",2954.64,0.6,23125,1737.9,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
"4",1188.52,0.75,4190,1385.18,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, Premis.Desc=SINGLE FAMILY DWELLING"
"5",1013.88,0.75,3629,1160.15,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
"6",931.5,0.77,3129,1132.56,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, TIME.OCC=(20,24]"
"7",894.68,0.56,9828,345.71,"TIME.OCC=(8.01,12], Premis.Desc=SINGLE FAMILY DWELLING"
"8",857.95,0.61,6413,477.63,"TIME.OCC=(20,24], Premis.Desc=SINGLE FAMILY DWELLING"
"9",849.19,0.77,2875,1022.95,"Crm.Cd.Desc=INTIMATE PARTNER - AGGRAVATED ASSAULT"
"10",848.45,0.5,34470,103.62,"TIME.OCC=(8.01,12]"
"11",751.17,0.77,2544,902.88,"Crm.Cd.Desc=VIOLATION OF RESTRAINING ORDER"
"12",682.48,0.62,4519,424.28,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC), TIME.OCC=(20,24]"
"13",667.74,0.57,6475,286.65,"TIME.OCC=(12,16], Premis.Desc=SINGLE FAMILY DWELLING"
"14",625.91,0.75,2222,716.41,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, TIME.OCC=(16,20]"
"15",590.31,0.55,7503,194.48,"Premis.Desc=SINGLE FAMILY DWELLING, TIME.OCC=(16,20]"
"16",584.45,0.59,5022,280.79,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC), TIME.OCC=(8.01,12]"
"17",573.79,0.75,2044,653.85,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, TIME.OCC=[0.0167,4.01]"
"18",541.14,0.76,1865,636.73,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, TIME.OCC=(8.01,12]"
"19",531.8,0.59,4391,264.93,"TIME.OCC=[0.0167,4.01], Premis.Desc=SINGLE FAMILY DWELLING"
"20",528.16,0.59,4369,262.61,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC), TIME.OCC=(16,20]"
